episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
1,1000,281.7620012611151,281.7620012611151,301.5000062212348,281.7620012611151,0.06,0.1139407753944397,0.9683333333333334,-0.0735511013865471,1000,,,,,
2,2000,285.75700058043003,283.75950092077255,318.05355912446976,285.75700058043003,0.071,0.08546048208884895,0.9366666666666666,0.5671590600835046,2000,,,,,
3,3000,291.008001036942,286.17566762616235,310.70000632852316,291.008001036942,0.066,0.16952379196882247,0.905,2.082326178083146,3000,,,,,
4,4000,269.6460013613105,282.0432510599494,303.9000058323145,269.6460013613105,0.062,0.12967515083029865,0.8733333333333333,3.2983785512460435,4000,,,,,
5,5000,327.14500112086535,291.0636010721326,379.25996048748493,327.14500112086535,0.1,0.14492245969176293,0.8416666666666667,4.510432006622504,5000,0.24775,0.7089170813560486,0.7361361384391785,0.7361361384391785,0.9455128205128205
6,6000,324.0000001937151,296.5530009257297,378.6303983256221,324.0000001937151,0.101,0.13442040890827775,0.81,5.399006297459474,6000,,,,,
7,7000,317.533001229167,299.55014382622073,367.70000626146793,317.533001229167,0.096,0.1800868826508522,0.7783333333333333,6.396866575557383,7000,,,,,
8,8000,370.9590003788471,308.476250895299,438.9969841912389,370.9590003788471,0.132,0.17246337747573853,0.7466666666666667,7.363496098274621,8000,,,,,
9,9000,364.42100116610527,314.6923342587219,432.10106314718723,364.42100116610527,0.129,0.1772823538556695,0.7150000000000001,8.30601096172348,9000,,,,,
10,10000,396.7760008275509,322.90070091560483,450.0054495856166,396.7760008275509,0.134,0.1826547301635146,0.6833333333333333,9.053749693418958,10000,0.30565,0.8392648696899414,0.8611881732940674,0.8611881732940674,0.9583333333333334
11,11000,460.9940008968115,335.4546372775327,515.7599599212408,460.9940008968115,0.162,0.21313217608630658,0.6516666666666667,9.700926826754792,11000,,,,,
12,12000,437.44200015068054,343.9535841836284,532.3360416069627,437.44200015068054,0.171,0.21790727287530898,0.62,10.5205431517392,12000,,,,,
13,13000,453.1900009140372,352.3563854705829,553.4516562446952,453.1900009140372,0.182,0.2075734469667077,0.5883333333333334,11.101945814539175,13000,,,,,
14,14000,499.5389997661114,362.8694293488349,605.5189235433936,499.5389997661114,0.206,0.2002318248450756,0.5566666666666666,11.557467760018648,14000,,,,,
15,15000,508.14099987596273,372.5542007173101,613.5337007567286,508.14099987596273,0.212,0.20416942033916713,0.525,11.81042714430008,15000,0.30935,0.8518880605697632,0.8601329922676086,0.8601329922676086,0.9839743589743589
16,16000,552.2040002271533,383.7823131866753,661.8464670926332,552.2040002271533,0.227,0.2149349044933915,0.4933333333333334,12.21696777837685,16000,,,,,
17,17000,587.4620011001825,395.76347129923454,729.3156956210732,587.4620011001825,0.257,0.2048885800614953,0.46166666666666667,12.701620405284359,17000,,,,,
18,18000,531.8490004315972,403.3237784732547,657.2627294138074,531.8490004315972,0.238,0.19367183949053288,0.43000000000000005,12.825507895466519,18000,,,,,
